X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	X7	Y7	ProbId7	X8	Y8	ProbId8	
656.37	680.78	1	627.89	619.25	0.98052	841.04	438.81	0.76694	826.07	220.32	0.99959	1306.4	559.93	1	1303.5	479.48	1	1273.5	584.35	1	1079.3	760.55	1
657	677.74	1	627.07	615.23	0.98052	835.62	434.95	0.76694	827.79	219.1	0.99959	1305.9	565.15	1	1305.5	485.03	1	1265.8	576.16	1	1077	757.75	1
657.93	674.71	1	626.67	611.37	0.98052	828.75	432.84	0.76694	829.51	217.68	0.99959	1305.4	569.59	1	1309.9	492.83	1	1259.8	568.69	1	1075.1	755.19	1
658.08	672.73	1	626.32	608.05	0.98052	820.68	429.69	0.76694	831.1	216.29	0.99959	1305.3	572.78	1	1311	495.84	1	1253.9	560.18	1	1073	752.76	1
657.23	671.02	1	625.82	604.73	0.98052	813.19	426.75	0.76694	832.54	214.93	0.99959	1305.1	577.32	1	1310.5	499.68	1	1249	552.88	1	1071.6	750.88	1
654.11	667.14	1	625.37	600.91	0.98052	805.23	424.05	0.76694	833.41	214.43	0.99959	1305.7	583.03	1	1310.4	509.29	1	1246	544.06	1	1068.5	746.5	1
647.65	659.09	1	624.88	598.09	0.98052	800.42	422.4	0.76694	834.42	213.77	0.99959	1305.8	586.33	1	1311.4	517.6	1	1243.7	530.58	1	1068.2	743.13	1
644.29	654.85	1	624.42	595.18	0.98052	794.51	420.63	0.76694	838.9	211.38	0.99959	1305.2	589.73	1	1312.3	524.65	1	1242.4	517.88	1	1068.8	736.59	1
639.15	649.2	1	624.25	592.77	0.98052	790.12	419.31	0.76694	843.14	210.95	0.99959	1305.2	591.97	1	1313.4	531.8	1	1242.3	506.35	1	1068.6	729.35	1
634.81	644.12	1	623.17	588.96	0.98052	784.3	417.53	0.76694	847.65	209.73	0.99959	1305.2	595.15	1	1313.9	537.06	1	1242.3	495.89	1	1069.2	722.12	1
632.83	641.82	1	619.76	584.1	0.98052	780.24	416.02	0.76694	850.67	208.94	0.99959	1304.8	598.33	1	1314.7	542.84	1	1242.6	487.38	1	1069.5	716.57	1
629.29	637.01	1	616.72	576.61	0.98052	776.31	414.9	0.76694	855.7	206.92	0.99959	1304.7	600.58	1	1315.2	547.31	1	1243.1	479.75	1	1070.3	710.4	1
626.12	633.19	1	613.52	569.11	0.98052	772.63	414.11	0.76694	858.4	206.13	0.99959	1304.2	605.24	1	1316.4	552.38	1	1243.7	472.97	1	1071.1	704.32	1
623.28	629.72	1	610.44	563	0.98052	768.27	412.82	0.76694	860.72	205.51	0.99959	1302.1	607.76	1	1313.5	559.42	1	1245.2	459.29	1	1071.3	700.77	1
621.24	626.72	1	607.69	557.31	0.98052	764.69	411.69	0.76694	863.35	204.6	0.99959	1300.4	614.32	1	1310.9	571.46	1	1246	444.7	1	1071.7	697.26	1
619.85	621.64	1	604.76	550.96	0.98052	762.16	410.84	0.76694	866.48	203.9	0.99959	1300.6	622.33	1	1310	577.41	1	1246.4	433.55	1	1072.5	692.47	1
